Who is the highest run-scorer in the history of Indian cricket?, Sachin Tendulkar, Rahul Dravid, Virat Kohli, Sunil Gavaskar, 1
Who is the highest wicket-taker in the history of Indian cricket?, Kapil Dev, Anil Kumble, Jasprit Bumrah, Zaheer Khan, 2
Which Indian cricketer has the highest individual score in Test cricket?, Virender Sehwag, Rahul Dravid, Sachin Tendulkar, V.V.S. Laxman, 3
Who was the captain of the Indian cricket team that won the 1983 Cricket World Cup?, Kapil Dev, Sunil Gavaskar, Mohinder Amarnath, Ravi Shastri, 1
Who is the current head coach of the Indian cricket team?, Ravi Shastri, Anil Kumble, Sourav Ganguly, Rahul Dravid, 4
In which year did India win its first Test match?, 1948, 1952, 1956, 1960, 2
Which Indian batsman has scored the most runs in a single Test match innings?, Virender Sehwag, V.V.S. Laxman, Rahul Dravid, Sachin Tendulkar, 4
Which Indian cricketer has won the most Man of the Match awards in ODI cricket?, Sachin Tendulkar, Virat Kohli, Rohit Sharma, Yuvraj Singh, 1
Who is the current captain of the Indian cricket team in all formats of the game?, Rohit Sharma, Shikhar Dhawan, Virat Kohli, Ajinkya Rahane, 1
Who is the highest wicket-taker in One Day International (ODI) cricket for India?, Anil Kumble, Javagal Srinath, Zaheer Khan, Harbhajan Singh, 2
